Date,Where,What,Dollar Cost,Point Used,Info
8/1/2014,BOI-BZW,Flight,650,65000,Round trip. Barclay Arrival.
12/1/2014,"BOI-Paris, Madrid-BOI",Flight,1400,60000,Round trip. United.
2/1/2015,BOI-MSY,Flight,2000,75000,Round trip. SW. New Orleans. 4 people 500 a ticket (On the low side).
6/1/2015,BOI-AUA,Flight,2400,100100,3 people 800 a ticket. SW. Aruba.
8/1/2015,BOI-DUB,Flight,1500,85000,"Round trip. Dublin, Ireland. Amex."
8/2/2015,Ireland,Hotel,1100,115000,6 nights. Club Carlson.
9/1/2015,BOI-LAS,Flight,300,13000,2 one way tickets (companion pass). Las Vegas. SW.
12/1/2015,San Juan,Flight,250,25000,2 Flights for 250. Arrival
12/1/2015,San Juan,Hotel,300,30000,1 Night for 300. Arrival
12/2/2015,TPA-SJU,Flight,600,20000,2 people Tampa to SJU. SW
12/3/2015,BOI-TPA,Flight,350,25000,American one way BOI to TPA.
12/4/2015,SJU-BOI,Flight,600,20000,SW. SJU to BOI.
1/6/2016,Discover,Cash,787,78700,Cash Back.
3/1/2016,Discover Ann,Cash,1100,110000,Cash Back.
6/1/2016,BOI-BER-SPU,Flight,1300,60000,Round trip flight to Europe. United
6/2/2016,Germany,Hotel ,600,120000,Hotels in Germany. IHG
6/3/2016,London,Hotel,430,14000,Hotels in London. SPG
9/16/2016,BOS-BOI,Flight,400,22000,BOS to BOI. Delta. 2 Tickets
9/16/2016,BOI-BOS,Flight,250,25000,BOI to BOS. Alaska. 2 Tickets
10/3/2016,SFO - BKK,Flight,7600,95000,Korean Air. First Class.
8/27/2016,Twin Falls,Hotel,90,20000,Softball Tourney
9/16/2016,Boston,Hotel,900,45000,Hyatt Cambridge
12/19/2016,TPE-LAX,Flight,2500,70000,JAL. Business Class.
11/22/2016,SIE-HAN,Flight,150,10000,Vietnam Air. Economy
12/19/2016,LAX-BOI,Flight,180,14000,Delta. Economy
12/9/2016,Singapore,Hotel,1005,60000,Grand Hyatt Singapore. Junior Suite Upgrade. 20K a night. Used 2 free hyatt nights
6/20/2017,SFO-BCN,Flight,1200,60000,2 One Way. United. SFO-BCN
7/5/2017,LIS-LAX,Flight,855,57000,1 One Way. Citi Thank you Points.
7/5/2017,Los Angeles,Hotel,200,10000,SPG. Sheraton Gateway.
7/20/2017,Bucharest,Hotel,130,25000,Intercontinental Bucharest. Free aniversary night.
7/23/2017,Athens,Hotel,170,57000,Raddison Blu Club Carlson. Upgraded to business room.
7/24/2017,"ATH-IST, IST-ATH",Flight,328,21866,RT booked through Chase Portal. 1.5cpp CSR.
7/29/2017,Istanbul,Hotel,160,15000,Grand Hyatt. Free anniversay hyatt night.
7/30/2017,Istanbul,Hotel,160,11000,Grand Hyatt. 1 night with UR points booked with CSR 1.5cpp.
7/31/2017,ATH-CFU,Flight,111,7500,One way booked through Chase Portal. 1.5cpp CSR.
8/8/2017,"BOI-FLR, BOI-VCE",Flight,1400,60000,United. Sue Morrison.
8/8/2017,CFU-FCO,Flight,171,11406,One way booked through Chase Portal. 1.5cpp CSR.
8/9/2017,FCO-FLR,Flight,116,7773,One way booked through Chase Portal. 1.5cpp CSR.
8/22/2017,VCE-BOI,Flight,800,30000,United. Jake Morrison
10/9/2017,Charles Schwab,Cash,2562.5,205000,Redeeming MR points with Charles Schwab.
10/20/2017,Chase Bank,Cash,134,13400,Redeeming UR for Cash.
10/24/2017,"BOI-GEG, GEG-BOI",Flight,180,13000,RT booked through SW for Joie.
11/14/2017,TUC-BOI,Flight,170,20000,One way for Joie.